"Fiscal Year","Budget Type","Dept ID","Department","APU","IPU","Appropriation","Fund","Amount"
"2019","EXP","380607","Correction","Community Corrections","Sussex County Community Corrections","Energy","ASF","30.0"
"2019","EXP","380607","Correction","Community Corrections","Sussex County Community Corrections","Supplies and Materials","ASF","252.7"
"2019","EXP","380607","Correction","Community Corrections","Sussex County Community Corrections","Capital Outlay","ASF","75.0"
"2019","EXP","380608","Correction","Community Corrections","Kent County Community Corrections","Personnel Costs","GF","6,163.6"
"2019","EXP","380608","Correction","Community Corrections","Kent County Community Corrections","Travel","GF","2.8"
"2019","EXP","380608","Correction","Community Corrections","Kent County Community Corrections","Contractual Services","GF","167.4"
"2019","EXP","380608","Correction","Community Corrections","Kent County Community Corrections","Energy","GF","388.5"
"2019","EXP","380608","Correction","Community Corrections","Kent County Community Corrections","Supplies and Materials","GF","103.0"
"2019","EXP","380608","Correction","Community Corrections","Kent County Community Corrections","Capital Outlay","GF","4.5"
"2019","EXP","380608","Correction","Community Corrections","Kent County Community Corrections","Contractual Services","ASF","10.0"
"2019","EXP","380608","Correction","Community Corrections","Kent County Community Corrections","Energy","ASF","5.0"
"2019","EXP","380608","Correction","Community Corrections","Kent County Community Corrections","Supplies and Materials","ASF","70.0"
"2019","EXP","380608","Correction","Community Corrections","Kent County Community Corrections","Capital Outlay","ASF","10.0"
"2019","EXP","400101","Natural Resources and Environmental Control","Office of the Secretary","Office of the Secretary","Personnel Costs","GF","1,854.3"
"2019","EXP","400101","Natural Resources and Environmental Control","Office of the Secretary","Office of the Secretary","Travel","GF","5.9"
"2019","EXP","400101","Natural Resources and Environmental Control","Office of the Secretary","Office of the Secretary","Contractual Services","GF","66.9"
"2019","EXP","400101","Natural Resources and Environmental Control","Office of the Secretary","Office of the Secretary","Energy","GF","570.1"
"2019","EXP","400101","Natural Resources and Environmental Control","Office of the Secretary","Office of the Secretary","Supplies and Materials","GF","37.9"
"2019","EXP","400101","Natural Resources and Environmental Control","Office of the Secretary","Office of the Secretary","Wholebasin Management/TMDL","GF","0.0"
"2019","EXP","400101","Natural Resources and Environmental Control","Office of the Secretary","Office of the Secretary","Personnel Costs","ASF","661.1"
"2019","EXP","400101","Natural Resources and Environmental Control","Office of the Secretary","Office of the Secretary","Travel","ASF","15.9"
"2019","EXP","400101","Natural Resources and Environmental Control","Office of the Secretary","Office of the Secretary","Contractual Services","ASF","253.8"
"2019","EXP","400101","Natural Resources and Environmental Control","Office of the Secretary","Office of the Secretary","Energy","ASF","52.5"
"2019","EXP","400101","Natural Resources and Environmental Control","Office of the Secretary","Office of the Secretary","Supplies and Materials","ASF","65.8"
"2019","EXP","400101","Natural Resources and Environmental Control","Office of the Secretary","Office of the Secretary","Capital Outlay","ASF","7.2"
"2019","EXP","400101","Natural Resources and Environmental Control","Office of the Secretary","Office of the Secretary","Other Items","ASF","90.0"
"2019","EXP","400101","Natural Resources and Environmental Control","Office of the Secretary","Office of the Secretary","Coastal Zone Management","ASF","15.0"
"2019","EXP","400101","Natural Resources and Environmental Control","Office of the Secretary","Office of the Secretary","Non-Game Habitat","ASF","20.0"
"2019","EXP","400101","Natural Resources and Environmental Control","Office of the Secretary","Office of the Secretary","Outdoor Delaware","ASF","0.0"
"2019","EXP","400101","Natural Resources and Environmental Control","Office of the Secretary","Office of the Secretary","Special Projects/Other Items","ASF","15.0"
"2019","EXP","400101","Natural Resources and Environmental Control","Office of the Secretary","Office of the Secretary","Wholebasin Management/TMDL","ASF","0.0"
"2019","EXP","400102","Natural Resources and Environmental Control","Office of the Secretary","Coastal Programs","Personnel Costs","GF","0.0"
"2019","EXP","400102","Natural Resources and Environmental Control","Office of the Secretary","Coastal Programs","Energy","GF","0.0"
"2019","EXP","400102","Natural Resources and Environmental Control","Office of the Secretary","Coastal Programs","Delaware Estuary","GF","0.0"
"2019","EXP","400102","Natural Resources and Environmental Control","Office of the Secretary","Coastal Programs","Personnel Costs","ASF","0.0"
"2019","EXP","400102","Natural Resources and Environmental Control","Office of the Secretary","Coastal Programs","Other Items","ASF","0.0"
"2019","EXP","400103","Natural Resources and Environmental Control","Office of the Secretary","Community Affairs","Personnel Costs","GF","1,183.9"
"2019","EXP","400103","Natural Resources and Environmental Control","Office of the Secretary","Community Affairs","Contractual Services","GF","5.8"
"2019","EXP","400103","Natural Resources and Environmental Control","Office of the Secretary","Community Affairs","Energy","GF","9.3"
"2019","EXP","400103","Natural Resources and Environmental Control","Office of the Secretary","Community Affairs","Supplies and Materials","GF","22.0"
"2019","EXP","400103","Natural Resources and Environmental Control","Office of the Secretary","Community Affairs","Personnel Costs","ASF","941.7"
"2019","EXP","400103","Natural Resources and Environmental Control","Office of the Secretary","Community Affairs","Travel","ASF","8.0"
"2019","EXP","400103","Natural Resources and Environmental Control","Office of the Secretary","Community Affairs","Contractual Services","ASF","187.0"
"2019","EXP","400103","Natural Resources and Environmental Control","Office of the Secretary","Community Affairs","Energy","ASF","13.0"
"2019","EXP","400103","Natural Resources and Environmental Control","Office of the Secretary","Community Affairs","Supplies and Materials","ASF","52.0"
"2019","EXP","400103","Natural Resources and Environmental Control","Office of the Secretary","Community Affairs","Capital Outlay","ASF","44.0"
"2019","EXP","400103","Natural Resources and Environmental Control","Office of the Secretary","Community Affairs","Cost Recovery","ASF","20.0"
"2019","EXP","400103","Natural Resources and Environmental Control","Office of the Secretary","Community Affairs","Outdoor Delaware","ASF","105.0"
"2019","EXP","400103","Natural Resources and Environmental Control","Office of the Secretary","Community Affairs","Vehicles","ASF","30.0"
"2019","EXP","400105","Natural Resources and Environmental Control","Office of the Secretary","Office of Innovation and Technology Services","Personnel Costs","GF","145.4"
"2019","EXP","400105","Natural Resources and Environmental Control","Office of the Secretary","Office of Innovation and Technology Services","Personnel Costs","ASF","579.3"
"2019","EXP","400105","Natural Resources and Environmental Control","Office of the Secretary","Office of Innovation and Technology Services","Travel","ASF","2.0"
"2019","EXP","400105","Natural Resources and Environmental Control","Office of the Secretary","Office of Innovation and Technology Services","Contractual Services","ASF","35.0"
"2019","EXP","400105","Natural Resources and Environmental Control","Office of the Secretary","Office of Innovation and Technology Services","Supplies and Materials","ASF","2.0"
"2019","EXP","400106","Natural Resources and Environmental Control","Office of the Secretary","Environmental Finance","Other Items","ASF","30.0"
"2019","EXP","400106","Natural Resources and Environmental Control","Office of the Secretary","Environmental Finance","SRF Future Administration","ASF","5,750.0"
"2019","EXP","400107","Natural Resources and Environmental Control","Office of the Secretary","Fiscal Management","Personnel Costs","GF","1,029.7"
"2019","EXP","400107","Natural Resources and Environmental Control","Office of the Secretary","Fiscal Management","Contractual Services","GF","17.1"
"2019","EXP","400107","Natural Resources and Environmental Control","Office of the Secretary","Fiscal Management","Energy","GF","9.3"
"2019","EXP","400107","Natural Resources and Environmental Control","Office of the Secretary","Fiscal Management","Supplies and Materials","GF","19.3"
"2019","EXP","400107","Natural Resources and Environmental Control","Office of the Secretary","Fiscal Management","Personnel Costs","ASF","799.3"
"2019","EXP","400107","Natural Resources and Environmental Control","Office of the Secretary","Fiscal Management","Travel","ASF","4.0"
"2019","EXP","400107","Natural Resources and Environmental Control","Office of the Secretary","Fiscal Management","Contractual Services","ASF","595.5"
"2019","EXP","400107","Natural Resources and Environmental Control","Office of the Secretary","Fiscal Management","Energy","ASF","12.0"
"2019","EXP","400107","Natural Resources and Environmental Control","Office of the Secretary","Fiscal Management","Supplies and Materials","ASF","33.0"
"2019","EXP","400302","Natural Resources and Environmental Control","Office of Natural Resources","Parks and Recreation","Personnel Costs","GF","7,976.7"
"2019","EXP","400302","Natural Resources and Environmental Control","Office of Natural Resources","Parks and Recreation","Travel","GF","4.5"
"2019","EXP","400302","Natural Resources and Environmental Control","Office of Natural Resources","Parks and Recreation","Contractual Services","GF","806.0"
"2019","EXP","400302","Natural Resources and Environmental Control","Office of Natural Resources","Parks and Recreation","Energy","GF","690.4"
"2019","EXP","400302","Natural Resources and Environmental Control","Office of Natural Resources","Parks and Recreation","Supplies and Materials","GF","403.6"
"2019","EXP","400302","Natural Resources and Environmental Control","Office of Natural Resources","Parks and Recreation","Personnel Costs","ASF","6,522.4"
"2019","EXP","400302","Natural Resources and Environmental Control","Office of Natural Resources","Parks and Recreation","Travel","ASF","33.3"
"2019","EXP","400302","Natural Resources and Environmental Control","Office of Natural Resources","Parks and Recreation","Contractual Services","ASF","4,645.0"
"2019","EXP","400302","Natural Resources and Environmental Control","Office of Natural Resources","Parks and Recreation","Energy","ASF","66.9"
"2019","EXP","400302","Natural Resources and Environmental Control","Office of Natural Resources","Parks and Recreation","Supplies and Materials","ASF","1,443.2"
"2019","EXP","400302","Natural Resources and Environmental Control","Office of Natural Resources","Parks and Recreation","Capital Outlay","ASF","64.4"
"2019","EXP","400302","Natural Resources and Environmental Control","Office of Natural Resources","Parks and Recreation","Other Items","ASF","899.6"
"2019","EXP","400302","Natural Resources and Environmental Control","Office of Natural Resources","Parks and Recreation","Cape Enterprise","ASF","90.0"
"2019","EXP","400302","Natural Resources and Environmental Control","Office of Natural Resources","Parks and Recreation","Killen's Pond Water Park","ASF","500.0"
"2019","EXP","400302","Natural Resources and Environmental Control","Office of Natural Resources","Parks and Recreation","Revenue Refunds","ASF","23.0"
"2019","EXP","400303","Natural Resources and Environmental Control","Office of Natural Resources","Fish and Wildlife","Personnel Costs","GF","4,476.2"
"2019","EXP","400303","Natural Resources and Environmental Control","Office of Natural Resources","Fish and Wildlife","Travel","GF","0.2"
"2019","EXP","400303","Natural Resources and Environmental Control","Office of Natural Resources","Fish and Wildlife","Contractual Services","GF","630.7"
"2019","EXP","400303","Natural Resources and Environmental Control","Office of Natural Resources","Fish and Wildlife","Energy","GF","152.4"
"2019","EXP","400303","Natural Resources and Environmental Control","Office of Natural Resources","Fish and Wildlife","Supplies and Materials","GF","181.8"
"2019","EXP","400303","Natural Resources and Environmental Control","Office of Natural Resources","Fish and Wildlife","Beaver Control, Phragmites and Deer","GF","72.9"
"2019","EXP","400303","Natural Resources and Environmental Control","Office of Natural Resources","Fish and Wildlife","Natural Heritage Program","GF","193.6"
"2019","EXP","400303","Natural Resources and Environmental Control","Office of Natural Resources","Fish and Wildlife","Spraying & Insecticides","GF","672.8"
"2019","EXP","400303","Natural Resources and Environmental Control","Office of Natural Resources","Fish and Wildlife","Tick Control Program","GF","140.9"
"2019","EXP","400303","Natural Resources and Environmental Control","Office of Natural Resources","Fish and Wildlife","Personnel Costs","ASF","37.0"
"2019","EXP","400303","Natural Resources and Environmental Control","Office of Natural Resources","Fish and Wildlife","Travel","ASF","7.5"
"2019","EXP","400303","Natural Resources and Environmental Control","Office of Natural Resources","Fish and Wildlife","Contractual Services","ASF","9.6"
"2019","EXP","400303","Natural Resources and Environmental Control","Office of Natural Resources","Fish and Wildlife","Supplies and Materials","ASF","23.4"
"2019","EXP","400303","Natural Resources and Environmental Control","Office of Natural Resources","Fish and Wildlife","Capital Outlay","ASF","29.3"
"2019","EXP","400303","Natural Resources and Environmental Control","Office of Natural Resources","Fish and Wildlife","Aquaculture","ASF","5.0"
"2019","EXP","400303","Natural Resources and Environmental Control","Office of Natural Resources","Fish and Wildlife","Boat Repairs","ASF","40.0"
"2019","EXP","400303","Natural Resources and Environmental Control","Office of Natural Resources","Fish and Wildlife","Clean Vessel Pgm","ASF","32.4"
"2019","EXP","400303","Natural Resources and Environmental Control","Office of Natural Resources","Fish and Wildlife","Conservation Access Pass","ASF","50.0"
"2019","EXP","400303","Natural Resources and Environmental Control","Office of Natural Resources","Fish and Wildlife","Director's Office Ops","ASF","51.8"
"2019","EXP","400303","Natural Resources and Environmental Control","Office of Natural Resources","Fish and Wildlife","Director's Office Personnel","ASF","72.4"
"2019","EXP","400303","Natural Resources and Environmental Control","Office of Natural Resources","Fish and Wildlife","Duck Stamp","ASF","180.0"
"2019","EXP","400303","Natural Resources and Environmental Control","Office of Natural Resources","Fish and Wildlife","Enforcement Ops","ASF","581.1"
"2019","EXP","400303","Natural Resources and Environmental Control","Office of Natural Resources","Fish and Wildlife","Enforcement Personnel","ASF","672.7"
"2019","EXP","400303","Natural Resources and Environmental Control","Office of Natural Resources","Fish and Wildlife","Finfish Development","ASF","130.0"
"2019","EXP","400303","Natural Resources and Environmental Control","Office of Natural Resources","Fish and Wildlife","Fisheries Restoration","ASF","600.0"
"2019","EXP","400303","Natural Resources and Environmental Control","Office of Natural Resources","Fish and Wildlife","Jr Duck Stamp","ASF","5.0"
"2019","EXP","400303","Natural Resources and Environmental Control","Office of Natural Resources","Fish and Wildlife","Natural Heritage Program","ASF","19.0"
"2019","EXP","400303","Natural Resources and Environmental Control","Office of Natural Resources","Fish and Wildlife","Non-Game Habitat","ASF","50.0"
"2019","EXP","400303","Natural Resources and Environmental Control","Office of Natural Resources","Fish and Wildlife","Northern DE Wetlands","ASF","277.5"
"2019","EXP","400303","Natural Resources and Environmental Control","Office of Natural Resources","Fish and Wildlife","Oyster Recovery","ASF","10.0"
"2019","EXP","400303","Natural Resources and Environmental Control","Office of Natural Resources","Fish and Wildlife","Revenue Refunds","ASF","15.0"
"2019","EXP","400303","Natural Resources and Environmental Control","Office of Natural Resources","Fish and Wildlife","Trout Stamp","ASF","50.0"
"2019","EXP","400303","Natural Resources and Environmental Control","Office of Natural Resources","Fish and Wildlife","Wildlife & Fisheries Ops","ASF","2,442.8"
"2019","EXP","400303","Natural Resources and Environmental Control","Office of Natural Resources","Fish and Wildlife","Wildlife & Fisheries Personnel","ASF","1,291.6"
"2019","EXP","400304","Natural Resources and Environmental Control","Office of Natural Resources","Watershed Stewardship","Personnel Costs","GF","5,305.4"
"2019","EXP","400304","Natural Resources and Environmental Control","Office of Natural Resources","Watershed Stewardship","Contractual Services","GF","1,297.6"
"2019","EXP","400304","Natural Resources and Environmental Control","Office of Natural Resources","Watershed Stewardship","Energy","GF","37.9"
"2019","EXP","400304","Natural Resources and Environmental Control","Office of Natural Resources","Watershed Stewardship","Supplies and Materials","GF","180.0"
"2019","EXP","400304","Natural Resources and Environmental Control","Office of Natural Resources","Watershed Stewardship","Capital Outlay","GF","2.0"
"2019","EXP","400304","Natural Resources and Environmental Control","Office of Natural Resources","Watershed Stewardship","Center for Inland Bays","GF","178.8"
"2019","EXP","400304","Natural Resources and Environmental Control","Office of Natural Resources","Watershed Stewardship","Sand By Pass System","GF","80.0"
"2019","EXP","400304","Natural Resources and Environmental Control","Office of Natural Resources","Watershed Stewardship","Tax Ditches","GF","225.0"
"2019","EXP","400304","Natural Resources and Environmental Control","Office of Natural Resources","Watershed Stewardship","Water Resources Agency","GF","185.9"
"2019","EXP","400304","Natural Resources and Environmental Control","Office of Natural Resources","Watershed Stewardship","Personnel Costs","ASF","177.4"
"2019","EXP","400304","Natural Resources and Environmental Control","Office of Natural Resources","Watershed Stewardship","Travel","ASF","20.0"
"2019","EXP","400304","Natural Resources and Environmental Control","Office of Natural Resources","Watershed Stewardship","Contractual Services","ASF","1,153.9"
"2019","EXP","400304","Natural Resources and Environmental Control","Office of Natural Resources","Watershed Stewardship","Supplies and Materials","ASF","104.0"
"2019","EXP","400304","Natural Resources and Environmental Control","Office of Natural Resources","Watershed Stewardship","Capital Outlay","ASF","39.0"
"2019","EXP","400304","Natural Resources and Environmental Control","Office of Natural Resources","Watershed Stewardship","Other Items","ASF","0.0"
"2019","EXP","400304","Natural Resources and Environmental Control","Office of Natural Resources","Watershed Stewardship","Beach Erosion Control","ASF","8,000.0"
"2019","EXP","400304","Natural Resources and Environmental Control","Office of Natural Resources","Watershed Stewardship","Waterway Management Fund","ASF","1,300.0"
"2019","EXP","400402","Natural Resources and Environmental Control","Office of Environmental Protection","Air Quality","Personnel Costs","GF","1,037.0"
"2019","EXP","400402","Natural Resources and Environmental Control","Office of Environmental Protection","Air Quality","Contractual Services","GF","60.2"
"2019","EXP","400402","Natural Resources and Environmental Control","Office of Environmental Protection","Air Quality","Energy","GF","51.0"
"2019","EXP","400402","Natural Resources and Environmental Control","Office of Environmental Protection","Air Quality","Supplies and Materials","GF","10.5"
"2019","EXP","400402","Natural Resources and Environmental Control","Office of Environmental Protection","Air Quality","Personnel Costs","ASF","3,175.5"
"2019","EXP","400402","Natural Resources and Environmental Control","Office of Environmental Protection","Air Quality","Travel","ASF","50.0"
"2019","EXP","400402","Natural Resources and Environmental Control","Office of Environmental Protection","Air Quality","Contractual Services","ASF","687.1"
"2019","EXP","400402","Natural Resources and Environmental Control","Office of Environmental Protection","Air Quality","Energy","ASF","15.0"
"2019","EXP","400402","Natural Resources and Environmental Control","Office of Environmental Protection","Air Quality","Supplies and Materials","ASF","73.9"
"2019","EXP","400402","Natural Resources and Environmental Control","Office of Environmental Protection","Air Quality","Capital Outlay","ASF","130.0"
"2019","EXP","400402","Natural Resources and Environmental Control","Office of Environmental Protection","Air Quality","Other Items","ASF","100.0"
"2019","EXP","400402","Natural Resources and Environmental Control","Office of Environmental Protection","Air Quality","Enhanced I & M Program","ASF","241.2"
"2019","EXP","400402","Natural Resources and Environmental Control","Office of Environmental Protection","Air Quality","Non-Title V","ASF","164.8"
"2019","EXP","400402","Natural Resources and Environmental Control","Office of Environmental Protection","Air Quality","Public Outreach","ASF","50.0"
"2019","EXP","400403","Natural Resources and Environmental Control","Office of Environmental Protection","Water","Personnel Costs","GF","3,494.5"
"2019","EXP","400403","Natural Resources and Environmental Control","Office of Environmental Protection","Water","Contractual Services","GF","439.3"
"2019","EXP","400403","Natural Resources and Environmental Control","Office of Environmental Protection","Water","Energy","GF","10.5"
"2019","EXP","400403","Natural Resources and Environmental Control","Office of Environmental Protection","Water","Supplies and Materials","GF","63.9"
"2019","EXP","400403","Natural Resources and Environmental Control","Office of Environmental Protection","Water","Wholebasin Management/TMDL","GF","643.8"
"2019","EXP","400403","Natural Resources and Environmental Control","Office of Environmental Protection","Water","Personnel Costs","ASF","279.3"
"2019","EXP","400403","Natural Resources and Environmental Control","Office of Environmental Protection","Water","Travel","ASF","12.0"
"2019","EXP","400403","Natural Resources and Environmental Control","Office of Environmental Protection","Water","Contractual Services","ASF","272.4"
"2019","EXP","400403","Natural Resources and Environmental Control","Office of Environmental Protection","Water","Energy","ASF","1.5"
"2019","EXP","400403","Natural Resources and Environmental Control","Office of Environmental Protection","Water","Supplies and Materials","ASF","10.0"
"2019","EXP","400403","Natural Resources and Environmental Control","Office of Environmental Protection","Water","Capital Outlay","ASF","65.0"
"2019","EXP","400403","Natural Resources and Environmental Control","Office of Environmental Protection","Water","Other Items","ASF","30.0"
"2019","EXP","400403","Natural Resources and Environmental Control","Office of Environmental Protection","Water","Board of Certification","ASF","14.0"
"2019","EXP","400403","Natural Resources and Environmental Control","Office of Environmental Protection","Water","Environmental Labs","ASF","467.0"
"2019","EXP","400403","Natural Resources and Environmental Control","Office of Environmental Protection","Water","Environmental Labs Personnel","ASF","1,100.0"
"2019","EXP","400403","Natural Resources and Environmental Control","Office of Environmental Protection","Water","Groundwater","ASF","207.5"
"2019","EXP","400403","Natural Resources and Environmental Control","Office of Environmental Protection","Water","Groundwater Personnel","ASF","339.0"
"2019","EXP","400403","Natural Resources and Environmental Control","Office of Environmental Protection","Water","SRF Future Administration","ASF","450.0"
"2019","EXP","400403","Natural Resources and Environmental Control","Office of Environmental Protection","Water","Surface Water","ASF","96.8"
"2019","EXP","400403","Natural Resources and Environmental Control","Office of Environmental Protection","Water","Surface Water Personnel","ASF","237.2"
"2019","EXP","400403","Natural Resources and Environmental Control","Office of Environmental Protection","Water","Water Supply","ASF","201.0"
"2019","EXP","400403","Natural Resources and Environmental Control","Office of Environmental Protection","Water","Water Supply Personnel","ASF","220.9"
"2019","EXP","400403","Natural Resources and Environmental Control","Office of Environmental Protection","Water","Wetland Personnel","ASF","318.4"
"2019","EXP","400403","Natural Resources and Environmental Control","Office of Environmental Protection","Water","Wetlands","ASF","202.0"
"2019","EXP","400404","Natural Resources and Environmental Control","Office of Environmental Protection","Waste and Hazardous Substances","Personnel Costs","GF","2,034.7"
"2019","EXP","400404","Natural Resources and Environmental Control","Office of Environmental Protection","Waste and Hazardous Substances","Contractual Services","GF","115.2"
"2019","EXP","400404","Natural Resources and Environmental Control","Office of Environmental Protection","Waste and Hazardous Substances","Energy","GF","26.9"
"2019","EXP","400404","Natural Resources and Environmental Control","Office of Environmental Protection","Waste and Hazardous Substances","Supplies and Materials","GF","7.4"
"2019","EXP","400404","Natural Resources and Environmental Control","Office of Environmental Protection","Waste and Hazardous Substances","SARA","GF","14.3"
"2019","EXP","400404","Natural Resources and Environmental Control","Office of Environmental Protection","Waste and Hazardous Substances","Personnel Costs","ASF","293.7"
"2019","EXP","400404","Natural Resources and Environmental Control","Office of Environmental Protection","Waste and Hazardous Substances","Travel","ASF","5.0"
"2019","EXP","400404","Natural Resources and Environmental Control","Office of Environmental Protection","Waste and Hazardous Substances","Contractual Services","ASF","478.1"
"2019","EXP","400404","Natural Resources and Environmental Control","Office of Environmental Protection","Waste and Hazardous Substances","Supplies and Materials","ASF","17.5"
"2019","EXP","400404","Natural Resources and Environmental Control","Office of Environmental Protection","Waste and Hazardous Substances","Capital Outlay","ASF","8.0"
"2019","EXP","400404","Natural Resources and Environmental Control","Office of Environmental Protection","Waste and Hazardous Substances","Other Items","ASF","824.8"
"2019","EXP","400404","Natural Resources and Environmental Control","Office of Environmental Protection","Waste and Hazardous Substances","AST Admin","ASF","225.0"
"2019","EXP","400404","Natural Resources and Environmental Control","Office of Environmental Protection","Waste and Hazardous Substances","Environmental Response","ASF","525.8"
"2019","EXP","400404","Natural Resources and Environmental Control","Office of Environmental Protection","Waste and Hazardous Substances","Extremely Haz Substance","ASF","180.9"
"2019","EXP","400404","Natural Resources and Environmental Control","Office of Environmental Protection","Waste and Hazardous Substances","Hazardous Waste","ASF","32.5"
"2019","EXP","400404","Natural Resources and Environmental Control","Office of Environmental Protection","Waste and Hazardous Substances","Hazardous Waste Personnel","ASF","180.0"
"2019","EXP","400404","Natural Resources and Environmental Control","Office of Environmental Protection","Waste and Hazardous Substances","Hazardous Waste Transporter","ASF","141.6"
"2019","EXP","400404","Natural Resources and Environmental Control","Office of Environmental Protection","Waste and Hazardous Substances","HSCA Admin","ASF","2,398.0"
"2019","EXP","400404","Natural Resources and Environmental Control","Office of Environmental Protection","Waste and Hazardous Substances","HSCA Clean-up","ASF","25,310.5"
"2019","EXP","400404","Natural Resources and Environmental Control","Office of Environmental Protection","Waste and Hazardous Substances","Local Emergency Planning","ASF","300.0"
"2019","EXP","400404","Natural Resources and Environmental Control","Office of Environmental Protection","Waste and Hazardous Substances","SARA","ASF","30.0"
"2019","EXP","400404","Natural Resources and Environmental Control","Office of Environmental Protection","Waste and Hazardous Substances","Solid Waste","ASF","25.0"
"2019","EXP","400404","Natural Resources and Environmental Control","Office of Environmental Protection","Waste and Hazardous Substances","Solid Waste Personnel","ASF","75.0"
"2019","EXP","400404","Natural Resources and Environmental Control","Office of Environmental Protection","Waste and Hazardous Substances","Solid Waste Transporter","ASF","21.2"
"2019","EXP","400404","Natural Resources and Environmental Control","Office of Environmental Protection","Waste and Hazardous Substances","Solid Waste Transporter Personnel","ASF","121.4"
"2019","EXP","400404","Natural Resources and Environmental Control","Office of Environmental Protection","Waste and Hazardous Substances","Stage II Vapor Recovery","ASF","75.0"
"2019","EXP","400404","Natural Resources and Environmental Control","Office of Environmental Protection","Waste and Hazardous Substances","Tire Admin","ASF","500.0"
"2019","EXP","400404","Natural Resources and Environmental Control","Office of Environmental Protection","Waste and Hazardous Substances","Tire Clean-up","ASF","1,500.0"
"2019","EXP","400404","Natural Resources and Environmental Control","Office of Environmental Protection","Waste and Hazardous Substances","UST Admin","ASF","350.0"
"2019","EXP","400404","Natural Resources and Environmental Control","Office of Environmental Protection","Waste and Hazardous Substances","UST Contractor Certification","ASF","0.0"
"2019","EXP","400404","Natural Resources and Environmental Control","Office of Environmental Protection","Waste and Hazardous Substances","UST Recovered Costs","ASF","100.0"
"2019","EXP","400404","Natural Resources and Environmental Control","Office of Environmental Protection","Waste and Hazardous Substances","Waste End Assessment","ASF","73.7"
"2019","EXP","400404","Natural Resources and Environmental Control","Office of Environmental Protection","Waste and Hazardous Substances","Waste End Assessment Personnel","ASF","280.4"
"2019","EXP","400405","Natural Resources and Environmental Control","Office of Environmental Protection","Climate, Coastal, and Energy","Personnel Costs","GF","505.2"
"2019","EXP","400405","Natural Resources and Environmental Control","Office of Environmental Protection","Climate, Coastal, and Energy","Contractual Services","GF","85.3"
"2019","EXP","400405","Natural Resources and Environmental Control","Office of Environmental Protection","Climate, Coastal, and Energy","Energy","GF","15.3"
"2019","EXP","400405","Natural Resources and Environmental Control","Office of Environmental Protection","Climate, Coastal, and Energy","Supplies and Materials","GF","3.0"
"2019","EXP","400405","Natural Resources and Environmental Control","Office of Environmental Protection","Climate, Coastal, and Energy","Delaware Estuary","GF","61.2"
"2019","EXP","400405","Natural Resources and Environmental Control","Office of Environmental Protection","Climate, Coastal, and Energy","Personnel Costs","ASF","729.7"
"2019","EXP","400405","Natural Resources and Environmental Control","Office of Environmental Protection","Climate, Coastal, and Energy","Travel","ASF","1.0"
"2019","EXP","400405","Natural Resources and Environmental Control","Office of Environmental Protection","Climate, Coastal, and Energy","Contractual Services","ASF","8.3"
"2019","EXP","400405","Natural Resources and Environmental Control","Office of Environmental Protection","Climate, Coastal, and Energy","Supplies and Materials","ASF","5.0"
"2019","EXP","400405","Natural Resources and Environmental Control","Office of Environmental Protection","Climate, Coastal, and Energy","Other Items","ASF","210.0"
"2019","EXP","400405","Natural Resources and Environmental Control","Office of Environmental Protection","Climate, Coastal, and Energy","RGGI Administration 10%","ASF","1,560.0"
"2019","EXP","400405","Natural Resources and Environmental Control","Office of Environmental Protection","Climate, Coastal, and Energy","RGGI CO2 Emissions","ASF","10,140.0"
"2019","EXP","400405","Natural Resources and Environmental Control","Office of Environmental Protection","Climate, Coastal, and Energy","RGGI LIHEAP","ASF","780.0"
"2019","EXP","400405","Natural Resources and Environmental Control","Office of Environmental Protection","Climate, Coastal, and Energy","RGGI Reduction Project","ASF","1,560.0"
"2019","EXP","400405","Natural Resources and Environmental Control","Office of Environmental Protection","Climate, Coastal, and Energy","RGGI Weatherization","ASF","1,560.0"
"2019","EXP","450101","Safety and Homeland Security","Office of the Secretary","Administration","Personnel Costs","GF","1,502.2"
"2019","EXP","450101","Safety and Homeland Security","Office of the Secretary","Administration","Travel","GF","1.4"
"2019","EXP","450101","Safety and Homeland Security","Office of the Secretary","Administration","Contractual Services","GF","49.7"
"2019","EXP","450101","Safety and Homeland Security","Office of the Secretary","Administration","Supplies and Materials","GF","6.3"
"2019","EXP","450101","Safety and Homeland Security","Office of the Secretary","Administration","Capital Outlay","GF","0.1"
"2019","EXP","450101","Safety and Homeland Security","Office of the Secretary","Administration","ITC Funds","GF","15.0"
"2019","EXP","450101","Safety and Homeland Security","Office of the Secretary","Administration","Police Training Council","GF","11.8"
"2019","EXP","450101","Safety and Homeland Security","Office of the Secretary","Administration","School Safety Plans","GF","0.0"
"2019","EXP","450101","Safety and Homeland Security","Office of the Secretary","Administration","FCVC - Local Law Enforcement","ASF","2,125.0"
"2019","EXP","450101","Safety and Homeland Security","Office of the Secretary","Administration","FCVC - State Police","ASF","2,125.0"
"2019","EXP","450101","Safety and Homeland Security","Office of the Secretary","Administration","Hazardous Waste Cleanup","ASF","100.0"
"2019","EXP","450120","Safety and Homeland Security","Office of the Secretary","Communication","Personnel Costs","GF","1,718.0"
"2019","EXP","450120","Safety and Homeland Security","Office of the Secretary","Communication","Contractual Services","GF","173.6"
"2019","EXP","450120","Safety and Homeland Security","Office of the Secretary","Communication","Supplies and Materials","GF","24.2"
"2019","EXP","450120","Safety and Homeland Security","Office of the Secretary","Communication","Personnel Costs","ASF","164.2"
